Fold,Accuracy,Precision,Recall,F1-score,Eval_Time,F1_Black,F1_Blue,F1_Green,F1_TTR
1,0.8685778108711839,0.8675931482496468,0.8629648278175629,0.865175266293375,73.62147402763367,0.7858439201451906,0.8845643520566121,0.9141221374045801,0.8761706555671176
2,0.8685778108711839,0.8682256681401743,0.8597242315696249,0.8637801816580007,74.22305417060852,0.7851851851851852,0.8869412795793163,0.9089201877934272,0.8740740740740741
3,0.8600148920327625,0.8559873743864712,0.8587765172020843,0.8569560974550785,71.76821446418762,0.7762237762237763,0.8779385171790235,0.9060150375939849,0.8676470588235294
4,0.8771407297096053,0.8748282662846119,0.8732647846084942,0.8733275527192477,73.79555892944336,0.7984644913627639,0.8889871738168952,0.9178832116788321,0.8879753340184995
5,0.8663440059568132,0.871160254717222,0.8613995711099693,0.8638358116778262,71.13288688659668,0.7888982338099243,0.8848050201703272,0.9108159392789373,0.8708240534521158
