Fold,Accuracy,Precision,Recall,F1-score,Eval_Time,F1_Black,F1_Blue,F1_Green,F1_TTR
1,0.8618763961280714,0.8557013510215306,0.8676963230195334,0.8605379077910089,71.15202140808105,0.7815491731940818,0.8751156336725254,0.8930817610062893,0.8924050632911392
2,0.8607594936708861,0.8519360469407504,0.858674805700243,0.8549076204038129,71.23417401313782,0.7765567765567766,0.882858435097241,0.9000900090009001,0.860125260960334
3,0.8648548026805659,0.8644895150532066,0.8586481324166629,0.8614536229445159,71.57215857505798,0.7663043478260869,0.8825088339222615,0.9125475285171103,0.884453781512605
4,0.8611317944899479,0.8591719933734387,0.8533710496187501,0.8558194561270943,71.65309929847717,0.7651515151515151,0.8803156510302499,0.9040835707502374,0.8737270875763747
5,0.8726731198808637,0.8740110759994719,0.8658682069080845,0.8695912221101144,71.17153072357178,0.7823741007194245,0.8883987648875166,0.9246704331450094,0.882921589688507
